arm,step,KL_bar,wall_clock_s
RM_OA-deberta,17,0.0016544890036395146,31.52730655670166
RM_OA-deberta,34,0.01073562661213969,28.46138882637024
RM_OA-deberta,51,0.04418466042097605,23.639529943466187
RM_OA-deberta,68,0.09886272209630885,18.321789026260376
RM_OA-deberta,85,0.14307331160400474,17.893120050430298
RM_OA-deberta,102,0.1680262163731174,18.374430179595947
RM_OA-deberta,119,0.17835719979385015,15.759363889694214
RM_OA-deberta,136,0.1926250595681864,15.23644733428955
RM_OA-deberta,153,0.20500734586351113,16.98682737350464
RM_OA-deberta,170,0.2160343620738753,18.08942985534668
RM_OA-deberta,187,0.218676929382731,16.41841173171997
RM_OA-deberta,204,0.22222233397260277,21.04940152168274
RM_OA-deberta,221,0.22411063907132062,17.685016632080078
RM_OA-deberta,238,0.22277154918887485,17.542423009872437
RM_OA-deberta,255,0.2230907689997368,16.803558111190796
RM_OA-deberta,272,0.22699371603892843,16.0131618976593
RM_gpt2-helpful,17,0.0028605068415652594,16.638418674468994
RM_gpt2-helpful,34,0.01838890023686936,16.967037439346313
RM_gpt2-helpful,51,0.06490519432954385,16.399736404418945
RM_gpt2-helpful,68,0.10700144731182927,15.424965620040894
RM_gpt2-helpful,85,0.16204240825214616,15.330294132232666
RM_gpt2-helpful,102,0.1835518145045524,16.43079686164856
RM_gpt2-helpful,119,0.19363852172070586,15.850341320037842
RM_gpt2-helpful,136,0.20375300134331648,17.286248683929443
RM_gpt2-helpful,153,0.2097212568195293,19.447021484375
RM_gpt2-helpful,170,0.21846026383055528,19.750346422195435
RM_gpt2-helpful,187,0.22263732468578176,24.902263402938843
RM_gpt2-helpful,204,0.22519589196028603,19.8499276638031
RM_gpt2-helpful,221,0.2275491116991945,24.17903757095337
RM_gpt2-helpful,238,0.22863238144448586,18.245883464813232
RM_gpt2-helpful,255,0.23048221240460992,15.324299097061157
RM_gpt2-helpful,272,0.22767346509745423,13.392628908157349
RM_gpt2-harmless,17,0.001681161925091944,15.406607627868652
RM_gpt2-harmless,34,0.010478591126665262,15.552592754364014
RM_gpt2-harmless,51,0.043348470061897515,13.916558980941772
RM_gpt2-harmless,68,0.0905406230861992,13.091323375701904
RM_gpt2-harmless,85,0.15395342377229956,16.329359769821167
RM_gpt2-harmless,102,0.17237944731590013,16.806432008743286
RM_gpt2-harmless,119,0.1914101827972132,17.464650869369507
RM_gpt2-harmless,136,0.19587613156503836,15.37238359451294
RM_gpt2-harmless,153,0.20799082871414046,15.551973819732666
RM_gpt2-harmless,170,0.2097795292345331,16.865090370178223
RM_gpt2-harmless,187,0.21020123986171285,18.371280908584595
RM_gpt2-harmless,204,0.21529858761749998,21.19091296195984
RM_gpt2-harmless,221,0.2220887090538589,14.440756797790527
RM_gpt2-harmless,238,0.21743675310846786,13.720816373825073
RM_gpt2-harmless,255,0.21748432708937876,16.52932357788086
RM_gpt2-harmless,272,0.2170208030843159,15.39847707748413
